id,mainImage,marker,locationName,locationLink,price,price/sqm,area-sqm,acres,link,documents,latitude,longitude,locationType
setubal-20,98_Av_Luísa_Todi_2.jpg,normal,98 Av. Luísa Todi,https://goo.gl/maps/vrEMva9mBPKDFphU6,"€ 1,000,000","€ 1,187",842,,,"Exterior Plans,AlçadosExistPropostaSetubal.pdf,Site Plans,Arq Trav Sol-proposto.pdf,Floor Dimensions,PortadoSol_Areas_Lic_Quadro Sinoptico.pdf,Floor -1,Portas_do_Sol_Lic Plantas_Propo_Piso-1.pdf,Floor 0,Portas_do_Sol_Lic Plantas_Propo_Piso0.pdf,Floor 1,Portas_do_Sol_Lic Plantas_Propo_Piso1.pdf,Floor 2,Portas_do_Sol_Lic Plantas_Propo_Piso2.pdf,Dimensions,Setubal-Mapa Areas-fracções.pdf,Summary Map Description,Setubal-Mapa Areas-resumo.pdf",38.52332,-8.8872,
setubal-21,R_Dr_Estevam_de_Vasconcelos_48.jpg,green,R. Dr. Estevam de Vasconcelos 48,https://goo.gl/maps/3Hc7VzuvkpDcQ1Nd8,N/A,N/A,N/A,,,,38.5248756,-8.8912054,
setubal-22,R_dos_Correeiros_58.jpg,green,R. dos Correeiros 58,https://goo.gl/maps/JoouTuDd27XTkQQ5A,N/A,N/A,N/A,,,,38.5248888,-8.8916173,
setubal-23,R_da_Marquesa_do_Faial_1.jpg,green,R. da Marquesa do Faial 1,https://goo.gl/maps/5vpi88zLg4j7KfZr7,N/A,N/A,N/A,,,,38.524866,-8.8920585,
setubal-24,Rua_dos_Mareantes_3.jpg,normal,"Rua dos Mareantes, 3",https://goo.gl/maps/c2odV7k4Mrmjpr6e8,"€ 270,000","€ 1,500",180,,https://www.remax.pt/imoveis/venda-predio-t0-setubal-setubal/124071008-91/p2Nols3l1yZTln0IZRVNRDrS0JfardIt,,38.523,-8.8894789,
setubal-25,Rua_Gil_Vicente_19.jpg,normal,"Rua Gil Vicente, 19, 1º Andar, 1º",https://goo.gl/maps/CyfisyD7er2BbYUi9,"€ 360,000","€ 1,714",210,,https://www.remax.pt/imoveis/venda-predio-t2-setubal-setubal/124071008-95/p2Nols3l1yZTln0IZRVNREKWba4jAUpG,,38.5235393,-8.8859204,
setubal-26,Rua_Vasco_Soveral_21.jpg,normal,"Rua Vasco Soveral, 21",https://goo.gl/maps/hZY6D6i4L8ASeEcj6,"€ 190,000","€ 1,348",141,,https://www.remax.pt/imoveis/venda-predio-t2-setubal-setubal/124071008-96/p2Nols3l1yZTln0IZRVNRKfnTA9ANoxX,,38.5234581,-8.8885831,
setubal-27,Rua_Ladeira_das_Fontainhas_34_36.jpg,normal,"Rua Ladeira das Fontainhas, 34 /36",https://goo.gl/maps/wz5ta9PvdtmfwBW47,"€ 127,500","€ 1,821",70,,https://www.remax.pt/imoveis/venda-predio-t-setubal-setubal/124071008-148/p2Nols3l1yZTln0IZRVNRJfp5tm1pcHT,,38.5230775,-8.8853349,
setubal-29,Rua_Vasco_da_Gama_26_a_30.jpg,normal,"Rua Vasco da Gama, 26 a 30",https://goo.gl/maps/PjgDwQHTJTXbBpir6,"€ 195,000",€ 823,237,,https://www.remax.pt/imoveis/venda-predio-t-setubal-setubal/124071008-161/p2Nols3l1yZTln0IZRVNRJJsc348paSh,,38.5232928,-8.8996152,
setubal-30,Rua_António_Maria_Eusébio_58.jpg,normal,"Rua António Maria Eusébio, ns.58 a 62, 60, Andar Serviço",https://goo.gl/maps/7ZvAjFoVUgTqCHWFA,"€ 285,000","€ 1,524",187,,https://www.remax.pt/imoveis/venda-predio-t5-setubal-setubal/123991059-49/p2Nols3l1ybciAcQ3dXvN3U7mRru7tKa,,38.5241404,-8.8955507,
setubal-31,Rua_do_Castelo_13_e_15.jpg,normal,"Rua do Castelo, 13 e 15",https://goo.gl/maps/TP7UvwsnyKTt2Mvt5,"€ 145,000","€ 2,417",60,,https://www.remax.pt/imoveis/venda-predio-t5-setubal-setubal/123991019-278/p2Nols3l1ybciAcQ3dXvNyPU7jj5qk9v,,38.5218634,-8.9028846,
setubal-32,Av_Luísa_Todi_376.jpg,green,Av. Luísa Todi 376,https://goo.gl/maps/xdRZAST6GmxkaQM36,N/A,N/A,N/A,,,,38.5235712,-8.8957099,
setubal-33,Av_Luísa_Todi_534.jpg,normal,Av. Luísa Todi 534,https://goo.gl/maps/evjdQcXNy26aZe2z5,"€ 305,000",N/A,N/A,,https://www.luxproperties.pt/en-gb/property/building-edificio-de-dois-pisos-e-viabilidade-para-dois-outros-adicionais-em-localizacao-privilegiada-no-ce/19071552,,38.52255,-8.8996214,
setubal-34,Av_Luísa_Todi_440.jpg,normal,Av. Luísa Todi 440,https://goo.gl/maps/nkBkR3ArPyJWmahP6,"€ 345,000","€ 4,107",84,,https://www.mysitec21.com/c21pt/ptrovao/pt-PT/propriedades-para-venda/propriedade/Vamos-reabilitar-Setubal---predio-na-Av-Luisa-Todi--Setubal-SJuliao-NSao-da-Anunciada-e-SMaria-da-Graca-Luisa-Todi/2229377,,38.5235952,-8.8978348,
setubal-35,Av_Luísa_Todi_460.jpg,normal,Av. Luísa Todi 460,https://goo.gl/maps/Gndb3p9YLamMqRt88,"€ 399,000","€ 4,156",96,,https://www.remax.pt/imoveis/venda-predio-setubal-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca/125851028-2,,38.5233903,-8.8981361,
setubal-36,Praça_do_Quebedo_41.jpg,green,Praça do Quebedo 41,https://goo.gl/maps/a6KeeKMQmdyHFvkJ6,N/A,N/A,N/A,,,,38.5247386,-8.8871708,
setubal-36,Tv_Álvaro_Anes_22.jpg,normal,next to Avenida Luísa Todi,https://goo.gl/maps/SYUKdP1Ciexxe95X6,"€ 195,000",€ 840,232,,https://www.remax.pt/imoveis/venda-predio-setubal-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca/125851004-154,,38.5233047,-8.9002548,
setubal-37,green_bldg.jpg,normal,next to Avenida Luísa Todi,https://goo.gl/maps/oZwNiFNo9YTCDMua6,"€ 495,000","€ 1,617",306,,https://www.remax.pt/imoveis/venda-industrial-t0-setubal-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca/123991091-21,,38.5229875,-8.9009139,
cascais-1,pamela-palace.jpg,normal,"Palmela Palace, Cascais Bay",,"€ 25,000,000","€ 9,996",2501,0.74,https://propertylistings.ft.com/homes/2796191/cascais-property-for-sale/one-of-a-kind-manor-house-cascais,,38.701076,-9.413453,precise
cascais-2,sintra-cascais.jpg,normal,Sinstra Cascais Natural Park,,"€ 42,000,000","€ 8,393",5004,64,https://www.primelocation.com/overseas/details/59161385/?search_identifier=0851a4a307292da91759f31768e3f94a,,38.7936463,-9.4601986,general
cascais-12,alcabideche.jpg,normal,Quinta Patino,,"€ 25,000,000","€ 18,539",1348,1.62,https://www.sothebysrealtypt.com/conteudos/imoveis/detalhe.aspx?idimovel=48866&idioma=en&hash=a6fe045b-a2d6-4f5b-9284-e67a76bc0c3b,,38.726556,-9.394417,precise
cascais-3,estoril.jpg,normal,Estoril,,"€ 23,000,000","€ 6,876",3345,7.66,https://www.francisyork.com/blog/the-patino-palace-on-the-portuguese-riviera,,38.71331,-9.39367,general
cascais-4,quinta.jpg,normal,Cascais,,"€ 20,400,000","€ 9,437",2162,7.67,https://www.christiesrealestate.com/sales/detail/170-l-78233-f1709071439700015/unique-quinta-in-the-centre-of-cascais-which-has-a-land-area-of-31-060-sqm-and-a-residence-on-it-which-is-spread-over-cascais-li,,38.7271128,-9.4136331,precise
cascais-5,cascais.jpg,normal,Cascais,,"€ 17,340,000","€ 17,012",1019,1.45,https://www.christiesrealestate.com/sales/detail/170-l-78233-f1608111117700073/magnificent-and-unique-property-in-the-centre-of-cascais-with-approximately-5-900-sqm-of-land-and-1-019-sqm-of-gross-li-cascais-li,,38.697583,-9.428306,precise
cascais-6,patino.jpg,normal,Quinta Patino,,"€ 12,750,000","€ 9,641",1322,1.22,https://www.christiesrealestate.com/sales/detail/170-l-78233-2110140842520701/quinta-patino-alcabideche-cascais-li-av-republic,,38.73,-9.3983,general
cascais-7,patino-2.jpg,normal,Quinta Patino,,"€ 12,200,000","€ 22,123",551,1.14,https://www.christiesrealestate.com/sales/detail/170-l-78233-f1144865763/8-bedroom-house-cascais-cascais-li,,38.7292,-9.3955,general
cascais-13,marinha-2.jpg,normal,Quinta de Marinha,,"€ 12,000,000","€ 25,415",472,1,https://www.sothebysrealtypt.com/conteudos/imoveis/detalhe.aspx?idimovel=49656&idioma=en&hash=615c114b-72a7-4fc0-9311-1641a7fe02fd,,38.698722,-9.459806,precise
cascais-8,guincho.jpg,normal,"Guincho, Cascais",,"€ 9,000,000","€ 8,995",1001,2.96,https://www.irglux.com/listing/for-sale-detached-villa-guincho-cascais-portugal-mor3346nd/,,38.733194,-9.46775,precise
cascais-11,malviera.jpg,normal,Malveira da Serra,,"€ 7,000,000",N/A,N/A,N/A,https://www.sothebysrealty.com/eng/sales/detail/180-l-481-jt5bgb/house-8-bedrooms-for-sale-malveira-da-serra-cascais-li,,38.753432,-9.446445,precise
cascais-10,marinha.jpg,normal,Quinta da Marinha,,"€ 5,950,000",N/A,N/A,N/A,https://www.christiesrealestate.com/sales/detail/170-l-78233-2111220959373632/quinta-da-marinha-quinta-da-marinha-cascais-li,,38.699306,-9.45625,precise
cascais-9,parede.jpg,normal,Cascais (Parede),,"€ 5,500,000","€ 7,220",762,1.63,https://search.savills.com/property-detail/gblisblbn210382,,38.692306,-9.364222,precise
